MCMC: iteration: 1, test suite size: 1, the method coverage: 0.5, the elapsed time: 0.21746551666666666
MCMC: iteration: 300, test suite size: 7, the method coverage: 0.5, the elapsed time: 101.0759231
MCMC: iteration: 301, test suite size: 2, the method coverage: 0.5, the elapsed time: 101.25955771666666
MCMC: iteration: 302, test suite size: 3, the method coverage: 0.5, the elapsed time: 101.4937008
MCMC: iteration: 303, test suite size: 5, the method coverage: 0.5, the elapsed time: 101.84527786666666
MCMC: iteration: 304, test suite size: 3, the method coverage: 0.5, the elapsed time: 102.0959827
MCMC: iteration: 305, test suite size: 9, the method coverage: 0.5, the elapsed time: 102.7158287
MCMC: iteration: 306, test suite size: 4, the method coverage: 0.5, the elapsed time: 103.03354603333334
MCMC: iteration: 307, test suite size: 5, the method coverage: 0.5, the elapsed time: 103.38505456666667
MCMC: iteration: 308, test suite size: 1, the method coverage: 0.5, the elapsed time: 103.5686911
MCMC: iteration: 309, test suite size: 1, the method coverage: 0.5, the elapsed time: 103.75232836666667
MCMC: iteration: 310, test suite size: 13, the method coverage: 0.5, the elapsed time: 104.55633418333333
MCMC: iteration: 311, test suite size: 2, the method coverage: 0.5, the elapsed time: 104.79028255
MCMC: iteration: 312, test suite size: 7, the method coverage: 0.5, the elapsed time: 105.17516640000001
MCMC: iteration: 313, test suite size: 10, the method coverage: 0.5, the elapsed time: 105.96193285
MCMC: iteration: 314, test suite size: 6, the method coverage: 0.5, the elapsed time: 106.33023589999999
MCMC: iteration: 315, test suite size: 4, the method coverage: 0.5, the elapsed time: 106.91669196666666
MCMC: iteration: 316, test suite size: 4, the method coverage: 0.5, the elapsed time: 107.20094123333334
MCMC: iteration: 317, test suite size: 2, the method coverage: 0.5, the elapsed time: 107.41817615
MCMC: iteration: 318, test suite size: 1, the method coverage: 0.5, the elapsed time: 107.6018807
MCMC: iteration: 319, test suite size: 3, the method coverage: 0.5, the elapsed time: 107.85266403333334
MCMC: iteration: 320, test suite size: 3, the method coverage: 0.5, the elapsed time: 108.10331208333334
MCMC: iteration: 321, test suite size: 1, the method coverage: 0.5, the elapsed time: 108.28707815
MCMC: iteration: 322, test suite size: 3, the method coverage: 0.5, the elapsed time: 108.53775673333332
MCMC: iteration: 323, test suite size: 1, the method coverage: 0.5, the elapsed time: 108.72153621666666
MCMC: iteration: 324, test suite size: 3, the method coverage: 0.5, the elapsed time: 109.00593345
MCMC: iteration: 325, test suite size: 7, the method coverage: 0.5, the elapsed time: 109.57560311666666
MCMC: iteration: 326, test suite size: 1, the method coverage: 0.5, the elapsed time: 109.75939631666667
MCMC: iteration: 327, test suite size: 4, the method coverage: 0.5, the elapsed time: 110.09376043333333
MCMC: iteration: 328, test suite size: 8, the method coverage: 0.5, the elapsed time: 110.64625786666667
MCMC: iteration: 329, test suite size: 3, the method coverage: 0.5, the elapsed time: 110.89721725
MCMC: iteration: 330, test suite size: 5, the method coverage: 0.5, the elapsed time: 111.26525313333333
MCMC: iteration: 331, test suite size: 2, the method coverage: 0.5, the elapsed time: 111.46586305000001
MCMC: iteration: 332, test suite size: 6, the method coverage: 0.5, the elapsed time: 111.88447586666666
MCMC: iteration: 333, test suite size: 5, the method coverage: 0.5, the elapsed time: 112.4204823
MCMC: iteration: 334, test suite size: 10, the method coverage: 0.5, the elapsed time: 113.00621753333333
MCMC: iteration: 335, test suite size: 3, the method coverage: 0.5, the elapsed time: 113.24016135000001
MCMC: iteration: 336, test suite size: 2, the method coverage: 0.5, the elapsed time: 113.44063265
MCMC: iteration: 337, test suite size: 6, the method coverage: 0.5, the elapsed time: 113.80874103333333
MCMC: iteration: 338, test suite size: 8, the method coverage: 0.5, the elapsed time: 114.27764031666668
MCMC: iteration: 339, test suite size: 6, the method coverage: 0.5, the elapsed time: 114.64579716666667
MCMC: iteration: 340, test suite size: 2, the method coverage: 0.5, the elapsed time: 114.8294325
MCMC: iteration: 341, test suite size: 3, the method coverage: 0.5, the elapsed time: 115.18068535
MCMC: iteration: 342, test suite size: 7, the method coverage: 0.5, the elapsed time: 115.68308863333333
MCMC: iteration: 343, test suite size: 1, the method coverage: 0.5, the elapsed time: 115.86677008333332
MCMC: iteration: 344, test suite size: 1, the method coverage: 0.5, the elapsed time: 116.05056951666667
MCMC: iteration: 345, test suite size: 4, the method coverage: 0.5, the elapsed time: 116.46894691666667
MCMC: iteration: 346, test suite size: 1, the method coverage: 0.5, the elapsed time: 116.652638
MCMC: iteration: 347, test suite size: 5, the method coverage: 0.5, the elapsed time: 116.97051058333334
MCMC: iteration: 348, test suite size: 7, the method coverage: 0.5, the elapsed time: 117.40589143333334
MCMC: iteration: 349, test suite size: 1, the method coverage: 0.5, the elapsed time: 117.58963586666667
MCMC: iteration: 350, test suite size: 1, the method coverage: 0.5, the elapsed time: 117.77354433333333
MCMC: iteration: 351, test suite size: 2, the method coverage: 0.5, the elapsed time: 117.99069395
MCMC: iteration: 352, test suite size: 10, the method coverage: 0.5, the elapsed time: 118.52599583333334
MCMC: iteration: 353, test suite size: 7, the method coverage: 0.5, the elapsed time: 119.12826171666667
MCMC: iteration: 354, test suite size: 5, the method coverage: 0.5, the elapsed time: 119.4795045
